Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2025-09-28,2025,Dender,RAAL La Louviere,0,0,D,U,2.4,3.23,2.89,2.0,2.0,4.0,2.0,5,0.0,1.0,3.0,2.0,0.0,5.0,-5.0,4.0,6.0,-2.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,25.0,75.0,8.0,11.0,7.0,12.0
2025-09-28,2025,Charleroi,Mechelen,0,2,A,U,2.02,3.61,3.35,6.0,3.0,5.0,3.0,5,1.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,10.0,17.0,15.0,23.0
2025-09-28,2025,Cercle Brugge,Gent,2,4,A,O,2.18,3.56,2.98,8.0,8.0,10.0,2.0,5,1.0,1.0,1.0,1.0,7.0,3.0,4.0,5.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,50.0,25.0,50.0,13.0,19.0,8.0,14.0
2025-09-27,2025,Waregem,Antwerp,2,0,H,U,2.62,3.34,2.56,6.0,1.0,4.0,4.0,5,1.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,-1.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,25.0,50.0,0.0,25.0,11.0,9.0,7.0,7.0
2025-09-27,2025,Standard,Club Brugge,1,2,A,O,5.23,4.1,1.57,5.0,5.0,7.0,8.0,5,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,25.0,25.0,50.0,11.0,16.0,18.0,22.0
2025-09-27,2025,St. Gilloise,Westerlo,2,0,H,U,1.33,5.3,7.77,6.0,2.0,9.0,2.0,4,3.0,1.0,0.0,1.0,10.0,9.0,1.0,0.0,9.0,-9.0,10.0,0.0,10.0,3.0,1.0,2.0,0.0,1.0,-1.0,100.0,0.0,25.0,50.0,26.0,20.0,21.0,18.0
2025-09-26,2025,Oud-Heverlee Leuven,Anderlecht,1,1,D,U,3.63,3.39,2.0,8.0,2.0,2.0,5.0,5,1.0,2.0,2.0,1.0,3.0,4.0,-1.0,4.0,2.0,2.0,-1.0,2.0,-3.0,0.0,2.0,-2.0,0.0,1.0,-1.0,25.0,50.0,66.7,33.3,12.0,14.0,12.0,15.0
2025-09-24,2025,Club Brugge,Westerlo,5,5,D,O,1.3,5.69,7.95,5.0,8.0,5.0,4.0,4,3.0,1.0,0.0,2.0,6.0,6.0,0.0,1.0,9.0,-8.0,5.0,-3.0,8.0,2.0,1.0,1.0,0.0,2.0,-2.0,100.0,0.0,33.3,66.7,18.0,16.0,22.0,17.0
2025-09-23,2025,Anderlecht,Gent,1,0,H,U,1.72,3.87,4.34,9.0,2.0,8.0,2.0,5,0.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,5.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,25.0,25.0,33.3,33.3,12.0,19.0,17.0,18.0
2025-09-21,2025,Westerlo,Standard,0,2,A,U,1.86,3.6,3.86,4.0,3.0,7.0,1.0,4,2.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,4.0,-2.0,3.0,-2.0,5.0,2.0,1.0,1.0,0.0,1.0,-1.0,66.7,33.3,33.3,66.7,17.0,6.0,16.0,6.0
2025-09-21,2025,Mechelen,Cercle Brugge,0,0,D,U,2.47,3.5,2.61,2.0,5.0,7.0,7.0,4,2.0,1.0,0.0,1.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,66.7,0.0,33.3,33.3,16.0,13.0,8.0,11.0
2025-09-21,2025,Genk,St. Gilloise,1,2,A,O,2.92,3.43,2.28,7.0,6.0,8.0,5.0,4,1.0,2.0,1.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,50.0,0.0,11.0,17.0,13.0,18.0
2025-09-21,2025,Club Brugge,St Truiden,2,0,H,U,1.41,4.83,6.36,9.0,3.0,5.0,0.0,3,,1.0,,0.0,,4.0,,,2.0,,,2.0,,,1.0,,,0.0,,100.0,0.0,33.3,0.0,,13.0,,26.0
2025-09-20,2025,Oud-Heverlee Leuven,RAAL La Louviere,1,2,A,O,2.0,3.3,3.69,2.0,3.0,2.0,1.0,4,1.0,0.0,1.0,3.0,4.0,3.0,1.0,4.0,6.0,-2.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,100.0,13.0,9.0,14.0,13.0
2025-09-20,2025,Charleroi,Waregem,1,2,A,O,1.76,3.77,4.18,2.0,4.0,6.0,11.0,4,1.0,1.0,0.0,2.0,5.0,6.0,-1.0,3.0,8.0,-5.0,2.0,-2.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,33.3,0.0,33.3,66.7,10.0,13.0,10.0,14.0
2025-09-20,2025,Anderlecht,Antwerp,0,0,D,U,1.66,3.9,4.59,2.0,1.0,8.0,2.0,4,1.0,0.0,1.0,1.0,8.0,2.0,6.0,6.0,4.0,2.0,2.0,-2.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,33.3,33.3,0.0,33.3,20.0,13.0,17.0,7.0
2025-09-19,2025,Gent,Dender,3,0,H,O,1.77,3.84,4.1,3.0,4.0,2.0,5.0,4,1.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,6.0,-2.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,2.0,-2.0,33.3,33.3,0.0,66.7,14.0,8.0,16.0,7.0
2025-09-17,2025,Genk,Charleroi,0,1,A,U,1.71,3.9,4.31,4.0,2.0,4.0,3.0,3,,1.0,,1.0,,5.0,,,5.0,,,0.0,,,0.0,,,0.0,,50.0,0.0,33.3,33.3,,15.0,,14.0
2025-09-14,2025,St Truiden,Westerlo,0,3,A,O,2.08,3.74,3.1,3.0,6.0,8.0,3.0,4,3.0,,0.0,,7.0,,,2.0,,,5.0,,,2.0,,,0.0,,,100.0,0.0,0.0,100.0,15.0,,12.0,
2025-09-14,2025,Cercle Brugge,Charleroi,2,3,A,O,2.14,3.45,3.16,2.0,4.0,4.0,3.0,4,1.0,,1.0,,5.0,,,4.0,,,1.0,,,1.0,,,1.0,,,33.3,33.3,0.0,50.0,13.0,,9.0,
